vendorid,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,ratecodeid,pulocationid,dolocationid,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,2021-01-01T00:15:56.000,2021-01-01T00:19:52.000,N,1,43,151,1,1.01,5.5,0.5,0.5,0,0,0.3,6.8,2,1,0
2,2021-01-01T00:25:59.000,2021-01-01T00:34:44.000,N,1,166,239,1,2.53,10,0.5,0.5,2.81,0,0.3,16.86,1,1,2.75
2,2021-01-01T00:45:57.000,2021-01-01T00:51:55.000,N,1,41,42,1,1.12,6,0.5,0.5,1,0,0.3,8.3,1,1,0
2,2020-12-31T23:57:51.000,2021-01-01T00:04:56.000,N,1,168,75,1,1.99,8,0.5,0.5,0,0,0.3,9.3,2,1,0
2,2021-01-01T00:16:36.000,2021-01-01T00:16:40.000,N,2,265,265,3,0.00,-52,0,-0.5,0,0,-0.3,-52.8,3,1,0
2,2021-01-01T00:16:36.000,2021-01-01T00:16:40.000,N,2,265,265,3,0.00,52,0,0.5,0,0,0.3,52.8,2,1,0
2,2021-01-01T00:19:14.000,2021-01-01T00:19:21.000,N,5,265,265,1,0.00,180,0,0,36.06,0,0.3,216.36,1,2,0
2,2021-01-01T00:26:31.000,2021-01-01T00:28:50.000,N,1,75,75,6,0.45,3.5,0.5,0.5,0.96,0,0.3,5.76,1,1,0
2,2021-01-01T00:57:46.000,2021-01-01T00:57:57.000,N,1,225,225,1,0.00,2.5,0.5,0.5,0,0,0.3,3.8,2,1,0
2,2021-01-01T00:58:32.000,2021-01-01T01:32:34.000,N,1,225,265,1,12.19,38,0.5,0.5,2.75,0,0.3,42.05,1,1,0
2,2021-01-01T00:31:14.000,2021-01-01T00:55:07.000,N,1,244,244,2,3.39,18,0.5,0.5,0,0,0.3,19.3,2,1,0
2,2021-01-01T00:08:50.000,2021-01-01T00:21:56.000,N,1,75,213,1,6.69,19.5,0.5,0.5,0,0,0.3,20.8,2,1,0
2,2021-01-01T00:35:13.000,2021-01-01T00:44:44.000,N,1,74,238,1,2.34,10,0.5,0.5,0,0,0.3,14.05,1,1,2.75
2,2021-01-01T00:39:57.000,2021-01-01T00:55:25.000,N,1,74,60,1,5.48,18,0.5,0.5,0,0,0.3,19.3,2,1,0
1,2021-01-01T00:51:27.000,2021-01-01T00:57:20.000,N,1,42,41,2,0.90,6,0.5,0.5,0,0,0.3,7.3,1,1,0
2,2021-01-01T00:29:05.000,2021-01-01T00:29:07.000,N,5,42,264,1,0.00,10,0,0,2.06,0,0.3,12.36,1,2,0
2,2021-01-01T00:32:07.000,2021-01-01T00:42:54.000,N,1,74,116,1,2.08,9.5,0.5,0.5,2.16,0,0.3,12.96,1,1,0
2,2021-01-01T00:49:59.000,2021-01-01T01:05:01.000,N,1,116,143,1,4.64,16.5,0.5,0.5,5.14,0,0.3,25.69,1,1,2.75
2,2021-01-01T00:07:20.000,2021-01-01T00:12:01.000,N,1,75,42,1,1.68,6.5,0.5,0.5,0,0,0.3,7.8,2,1,0
2,2021-01-01T00:25:54.000,2021-01-01T00:28:20.000,N,1,74,75,1,0.68,4,0.5,0.5,0,0,0.3,5.3,2,1,0
2,2021-01-01T00:15:51.000,2021-01-01T00:30:34.000,N,1,7,82,5,2.70,12,0.5,0.5,0,0,0.3,13.3,1,1,0
2,2021-01-01T00:21:09.000,2021-01-01T01:06:01.000,N,1,152,117,1,29.07,77.5,0.5,0.5,0,6.12,0.3,84.92,2,1,0
2,2021-01-01T00:42:25.000,2021-01-01T00:43:06.000,N,1,82,82,1,0.00,2.5,0.5,0.5,8,0,0.3,11.8,1,1,0
2,2021-01-01T00:51:52.000,2021-01-01T01:06:13.000,N,1,116,74,1,2.78,12,0.5,0.5,0,0,0.3,13.3,2,1,0
2,2021-01-01T00:23:19.000,2021-01-01T00:34:03.000,N,1,116,69,3,2.25,10,0.5,0.5,0,0,0.3,11.3,2,1,0
1,2021-01-01T00:56:41.000,2021-01-01T01:13:31.000,N,1,259,116,1,0.00,28.2,0,0.5,0,0,0.3,29,1,1,0
2,2021-01-01T00:50:23.000,2021-01-01T00:55:11.000,N,1,247,167,1,1.03,5.5,0.5,0.5,0,0,0.3,6.8,1,1,0
2,2021-01-01T00:15:41.000,2021-01-01T00:18:57.000,N,1,166,41,1,0.65,4.5,0.5,0.5,0,0,0.3,5.8,1,1,0
2,2021-01-01T00:30:34.000,2021-01-01T00:43:14.000,N,1,74,119,1,2.51,11.5,0.5,0.5,2.56,0,0.3,15.36,1,1,0
