vendorid,lpep_pickup_datetime,lpep_dropoff_datetime,ratecodeid,pulocationid,dolocationid,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,2019-12-18T15:52:30.000,2019-12-18T15:54:39.000,1,264,264,5,0.0,3.5,0.5,0.5,0.01,0.0,0.3,4.81,1,1,0.0
2,2020-01-01T00:45:58.000,2020-01-01T00:56:39.000,5,66,65,2,1.28,20.0,0.0,0.0,4.06,0.0,0.3,24.36,1,2,0.0
2,2020-01-01T00:41:38.000,2020-01-01T00:52:49.000,1,181,228,1,2.47,10.5,0.5,0.5,3.54,0.0,0.3,15.34,1,1,0.0
1,2020-01-01T00:52:46.000,2020-01-01T01:14:21.000,1,129,263,2,6.3,21.0,3.25,0.5,0.0,0.0,0.3,25.05,2,1,2.75
1,2020-01-01T00:19:57.000,2020-01-01T00:30:56.000,1,210,150,1,2.3,10.0,0.5,0.5,0.0,0.0,0.3,11.3,1,1,0.0
1,2020-01-01T00:52:33.000,2020-01-01T01:09:54.000,1,35,39,1,3.0,13.5,0.5,0.5,0.0,0.0,0.3,14.8,1,1,0.0
2,2020-01-01T00:10:18.000,2020-01-01T00:22:16.000,1,25,61,1,2.77,11.0,0.5,0.5,0.0,0.0,0.3,12.3,2,1,0.0
2,2020-01-01T01:03:14.000,2020-01-01T01:29:45.000,1,225,89,1,4.98,20.5,0.5,0.5,0.0,0.0,0.3,21.8,2,1,0.0
2,2020-01-01T00:04:11.000,2020-01-01T00:09:48.000,1,129,129,1,0.71,5.5,0.5,0.5,0.0,0.0,0.3,6.8,2,1,0.0
2,2020-01-01T00:25:52.000,2020-01-01T00:32:16.000,1,129,83,1,0.8,5.5,0.5,0.5,0.0,0.0,0.3,6.8,2,1,0.0
2,2020-01-01T00:47:32.000,2020-01-01T00:59:25.000,1,82,173,1,1.52,9.5,0.5,0.5,0.0,0.0,0.3,10.8,2,1,0.0
1,2020-01-01T00:26:40.000,2020-01-01T00:40:42.000,1,74,69,1,3.8,14.0,0.5,0.5,0.0,0.0,0.3,15.3,2,1,0.0
2,2020-01-01T00:38:47.000,2020-01-01T00:46:02.000,1,74,41,1,1.12,6.5,0.5,0.5,0.0,0.0,0.3,7.8,1,1,0.0
2,2020-01-01T00:52:18.000,2020-01-01T01:09:58.000,1,41,127,1,5.67,19.0,0.5,0.5,0.0,0.0,0.3,20.3,2,1,0.0
2,2020-01-01T00:16:01.000,2020-01-01T00:26:40.000,1,7,260,1,1.86,9.5,0.5,0.5,0.0,0.0,0.3,10.8,2,1,0.0
2,2020-01-01T00:21:15.000,2020-01-01T00:28:03.000,1,7,7,1,1.42,7.0,0.5,0.5,0.0,0.0,0.3,8.3,2,1,0.0
2,2020-01-01T00:35:42.000,2020-01-01T01:02:00.000,1,7,133,1,15.48,43.0,0.5,0.5,8.86,0.0,0.3,53.16,1,1,0.0
2,2020-01-01T00:39:51.000,2020-01-01T00:42:54.000,1,134,28,1,1.15,5.5,0.5,0.5,1.0,0.0,0.3,7.8,1,1,0.0
1,2020-01-01T00:00:21.000,2020-01-01T00:10:19.000,1,89,39,1,2.3,10.0,0.5,0.5,0.0,0.0,0.3,11.3,2,1,0.0
1,2020-01-01T00:13:59.000,2020-01-01T00:21:31.000,1,66,65,3,1.0,6.5,0.5,0.5,0.0,0.0,0.3,7.8,2,1,0.0
1,2020-01-01T00:05:13.000,2020-01-01T00:06:49.000,1,116,244,1,0.4,3.5,0.5,0.5,0.0,0.0,0.3,4.8,4,1,0.0
1,2020-01-01T00:41:50.000,2020-01-01T01:00:20.000,1,167,41,1,3.4,14.5,0.5,0.5,0.0,0.0,0.3,15.8,4,1,0.0
2,2020-01-01T00:14:07.000,2020-01-01T00:24:32.000,1,82,92,2,2.55,10.0,0.5,0.5,0.0,0.0,0.3,11.3,2,1,0.0
2,2020-01-01T00:43:33.000,2020-01-01T00:44:02.000,5,264,264,1,0.28,5.55,0.0,0.0,10.0,0.0,0.0,15.55,1,2,0.0
2,2020-01-01T00:35:29.000,2020-01-01T00:38:00.000,1,223,223,1,0.29,3.5,0.5,0.5,0.96,0.0,0.3,5.76,1,1,0.0
2,2020-01-01T00:13:38.000,2020-01-01T00:23:22.000,1,42,151,1,2.02,9.5,0.5,0.5,0.0,0.0,0.3,10.8,2,1,0.0
2,2020-01-01T00:26:48.000,2020-01-01T00:36:57.000,1,166,74,1,1.62,9.0,0.5,0.5,0.0,0.0,0.3,10.3,2,1,0.0
2,2020-01-01T00:46:58.000,2020-01-01T00:58:53.000,1,41,42,1,1.95,9.5,0.5,0.5,0.0,0.0,0.3,10.8,1,1,0.0
2,2020-01-01T00:48:49.000,2020-01-01T01:01:52.000,1,134,129,2,7.53,22.0,0.5,0.5,0.0,0.0,0.3,23.3,2,1,0.0
